UserKey_4Map,yearmonth,Country,SalesRep_Code,salesrepemployeeid_z,Sales_MTD,Target_MTD,Sales_QTD,Target_QTD,Balance_MTD,Balance_QTD,%Achievement_MTD,%Achievement_QTD
ID_MR_MRJKD109,2024-08-01,ID,MRJKD109,azulfikar,51069541.0,210163560.0,195269146.0,414839968.0,159094019.0,219570822.0,0.24299902894678793,0.4707095773375433
ID_MR_MRJKD110,2024-08-01,ID,MRJKD110,fginting,45481262.0,255292548.0,209550158.0,503453480.0,209811286.0,293903322.0,0.1781535041124663,0.4162254633734978
ID_MR_MRJKD112,2024-08-01,ID,MRJKD112,hkomalasari,90945121.0,277851812.0,350502741.0,548115672.0,186906691.0,197612931.0,0.3273151985058856,0.6394685627598694
ID_MR_MRJKD113,2024-08-01,ID,MRJKD113,dkrisdiantoro,72956909.0,174923412.0,323697821.0,361033852.0,101966503.0,37336031.0,0.4170791557621801,0.896585788858381
ID_MR_MRJKD114,2024-08-01,ID,MRJKD114,habiburrahman,49257737.0,326067920.0,227621423.0,648215888.0,276810183.0,420594465.0,0.1510658791579374,0.35115063856626727
ID_MR_MRJKD115,2024-08-01,ID,MRJKD115,sburhanudin,34747581.0,176177920.0,223351449.0,344643800.0,141430339.0,121292351.0,0.19723005584354725,0.6480646075745451
ID_MR_MRJKD116,2024-08-01,ID,MRJKD116,wfebriyatika,43552101.0,224114376.0,452983281.0,448978232.0,180562275.0,-4005049.0,0.19432979613944978,1.008920363426439
ID_MR_MRJKD1Z1,2024-08-01,ID,MRJKD1Z1,,45592467.0,0.0,189059255.0,0.0,-45592467.0,-189059255.0,1.0,1.0
ID_MR_MRJKD201,2024-08-01,ID,MRJKD201,kimaulana,65254161.0,274480480.0,252791728.0,554675216.0,209226319.0,301883488.0,0.2377369822436918,0.45574729266432557
ID_MR_MRJKD202,2024-08-01,ID,MRJKD202,trahayu,31366242.0,183163811.0,158587190.0,367355176.0,151797569.0,208767986.0,0.1712469391674756,0.4316998925312543
ID_MR_MRJKD203,2024-08-01,ID,MRJKD203,rmargining,67063173.0,297615872.0,428038972.0,590490328.0,230552699.0,162451356.0,0.2253346656189089,0.7248873549712063
ID_MR_MRJKD204,2024-08-01,ID,MRJKD204,azarifin,51259450.0,176379774.0,195806331.0,347694028.0,125120324.0,151887697.0,0.29061977367087455,0.56315701516737
ID_MR_MRJKD205,2024-08-01,ID,MRJKD205,yseptiarini,40441693.0,249259744.0,268604735.0,484641424.0,208818051.0,216036689.0,0.16224718982299846,0.5542339587546277
